Loan Amount,Credit Score,Property Value,Loan-to-Value Ratio,Loan Term (years),Employment Length,Location,Loan Type,Property Type,State,Interest Rate,Debt-To-Income DTI,Down Payment $,Income,Ocuppancy Type
173662,786,635526,0.8754242491932125,25,10+ years,Suburban,Adjustable,Single Family,NY,6.56,40,35071,285697,Primary
234320,767,575013,0.6074805788869665,40,10+ years,Urban,Fixed,Townhouse,MI,2.36,20,75673,199867,Secondary
492095,781,553802,0.6164971141979396,15,10+ years,Urban,Fixed,Single Family,NY,9.54,24,64231,148959,Secondary
230627,674,247043,0.9341010829296126,30,1-3 years,Rural,Adjustable,Townhouse,NY,5.86,48,23402,223091,Investment
227742,718,266067,0.5752177734661159,20,10+ years,Suburban,Fixed,Single Family,GA,6.97,42,28164,134967,Secondary
208116,706,369451,0.8785115759116302,20,< 1 year,Rural,Adjustable,Single Family,NY,5.98,47,79917,310923,Secondary
479762,780,554732,0.6131070354755139,20,10+ years,Rural,Fixed,Single Family,TX,8.44,11,62274,187354,Investment
188092,680,356627,0.8424546192968587,30,1-3 years,Suburban,Fixed,Single Family,MI,6.07,14,15801,171303,Investment
292538,652,492896,0.7608615622470816,20,10+ years,Rural,Fixed,Condo,GA,7.03,22,65022,297349,Primary
235766,789,322097,0.6154708208495897,30,1-3 years,Suburban,Adjustable,Single Family,GA,4.36,31,16791,294015,Primary
451195,768,618081,0.7753804487919855,25,5-10 years,Suburban,Adjustable,Townhouse,NY,6.29,37,40009,221964,Investment
255756,685,287991,0.9293578054172962,15,< 1 year,Urban,Fixed,Multi Family,PA,7.44,25,76214,349798,Primary
101091,778,228969,0.8250938700244812,15,3-5 years,Suburban,Adjustable,Townhouse,NC,9.81,47,44074,148424,Primary
143548,758,674894,0.985173561936783,25,5-10 years,Rural,Adjustable,Multi Family,IL,6.05,18,72088,181199,Secondary
268693,783,588923,0.7558401870083873,40,10+ years,Urban,Fixed,Condo,NY,3.73,32,27986,201565,Primary
290873,840,285444,0.6767792712227945,25,5-10 years,Rural,Fixed,Condo,GA,6.53,40,31941,298839,Investment
371509,699,393515,0.6619944494983532,20,1-3 years,Urban,Fixed,Townhouse,OH,7.8,45,26791,114851,Primary
395461,833,493356,0.795975446646872,25,1-3 years,Rural,Fixed,Single Family,MI,8.12,22,34222,149119,Secondary
107681,653,675444,0.6692823101622132,40,< 1 year,Rural,Adjustable,Condo,GA,1.06,20,92340,220075,Secondary
226551,719,553275,0.6412413855056504,25,< 1 year,Suburban,Fixed,Condo,CA,5.84,34,58890,161924,Investment
201939,647,580189,0.5853945146365702,15,1-3 years,Rural,Fixed,Condo,PA,5.99,38,43831,126076,Primary
183380,680,352957,0.5282618282561531,20,1-3 years,Urban,Adjustable,Multi Family,IL,5.59,34,86571,296381,Investment
255119,696,329113,0.6132579103879718,30,5-10 years,Urban,Fixed,Multi Family,PA,5.45,23,11464,243022,Investment
345503,792,312159,0.6392457398777303,30,< 1 year,Suburban,Adjustable,Townhouse,MI,4.61,34,83748,204715,Primary
102546,776,298536,0.8549926554007843,20,1-3 years,Urban,Adjustable,Multi Family,OH,6.75,28,27498,131538,Primary
421515,840,240107,0.9685726780043785,30,5-10 years,Urban,Adjustable,Single Family,CA,6.33,13,63310,330545,Secondary
199962,718,252951,0.5521106099140723,25,< 1 year,Rural,Adjustable,Multi Family,NC,5.72,45,73784,263215,Investment
479769,654,447431,0.6481730693263981,30,10+ years,Suburban,Fixed,Townhouse,IL,5.29,26,35242,112392,Investment
205859,736,663977,0.6302308796188549,20,3-5 years,Rural,Fixed,Townhouse,TX,7.43,27,94534,259184,Investment
174155,842,504885,0.564839101868122,25,1-3 years,Suburban,Adjustable,Multi Family,FL,7.51,31,80150,262446,Investment
418026,726,580412,0.6056024406957965,20,5-10 years,Urban,Adjustable,Townhouse,NY,8.37,42,91057,243891,Secondary
294103,741,393593,0.7634707793601108,25,5-10 years,Urban,Fixed,Townhouse,MI,6.92,38,68959,121578,Primary
291081,776,588240,0.81100409975998,30,3-5 years,Rural,Adjustable,Multi Family,MI,6.44,28,76283,337742,Primary
450541,758,270704,0.9517047322914247,30,5-10 years,Suburban,Adjustable,Condo,OH,4.65,16,92878,343658,Investment
421894,644,412598,0.9526324206579239,25,3-5 years,Urban,Fixed,Townhouse,TX,5.27,30,71313,283810,Secondary
192617,695,550999,0.6230483021775245,30,< 1 year,Urban,Adjustable,Condo,TX,4.52,21,53502,176835,Secondary
244997,671,486378,0.6137767914282678,25,5-10 years,Urban,Adjustable,Townhouse,TX,5.3,25,19041,307532,Primary
426780,657,229992,0.5185602517507724,30,5-10 years,Suburban,Fixed,Single Family,OH,3.13,17,96110,123697,Primary
331360,698,386158,0.9977255064788881,40,3-5 years,Rural,Adjustable,Condo,CA,2.81,10,38210,102540,Investment
281525,696,248328,0.7158118626749164,40,5-10 years,Rural,Fixed,Townhouse,OH,1.76,48,83749,325540,Secondary
488570,781,660203,0.91952947423218,40,3-5 years,Suburban,Fixed,Multi Family,NC,4.17,27,84172,159058,Primary
123392,694,605422,0.5956921046708599,25,1-3 years,Urban,Adjustable,Single Family,GA,5.19,27,74087,173356,Investment
180189,694,644041,0.7782438154250917,25,5-10 years,Urban,Fixed,Condo,PA,5.74,42,94574,137199,Secondary
397745,834,692438,0.9597242628792524,40,1-3 years,Urban,Fixed,Single Family,PA,4.46,28,94847,260727,Secondary
167742,759,531807,0.916267713568758,30,5-10 years,Rural,Fixed,Single Family,FL,6.34,21,24214,120862,Secondary
409002,808,334875,0.8792046588590504,40,< 1 year,Suburban,Fixed,Condo,NY,3.39,26,10005,117273,Primary
150077,807,426338,0.545533401280466,40,1-3 years,Suburban,Fixed,Multi Family,CA,5.22,41,24936,312751,Secondary
362882,683,495285,0.6930687622107554,40,1-3 years,Urban,Fixed,Multi Family,CA,3.63,22,59592,317980,Investment
400268,831,563830,0.7135813323860047,15,3-5 years,Suburban,Fixed,Single Family,GA,9.23,17,59300,244092,Primary
238286,644,525763,0.940483025042292,30,10+ years,Suburban,Adjustable,Single Family,NY,4.01,13,70792,307222,Investment
473091,805,638988,0.7174455431976792,30,10+ years,Rural,Fixed,Condo,NY,6.14,24,69184,262031,Investment
431452,674,486424,0.7019032016538969,30,5-10 years,Suburban,Adjustable,Single Family,MI,6.13,10,40180,239236,Primary
131783,652,488591,0.6133044123687632,30,5-10 years,Urban,Fixed,Single Family,PA,4.91,18,81567,318494,Investment
356807,809,666704,0.8788456791844346,25,5-10 years,Suburban,Adjustable,Single Family,NY,6.93,10,70929,279307,Investment
408801,811,619804,0.6822181738467284,40,< 1 year,Rural,Adjustable,Townhouse,CA,5.5,21,59917,269083,Investment
235189,704,233738,0.7811543827480647,25,< 1 year,Urban,Adjustable,Single Family,PA,5.77,31,88507,277056,Secondary
444453,720,535421,0.9550477129367891,25,1-3 years,Urban,Adjustable,Condo,GA,7.05,10,26563,156830,Investment
299345,735,467644,0.6148818130656857,30,10+ years,Urban,Adjustable,Townhouse,GA,6.49,34,81352,209645,Secondary
146298,726,675213,0.9835674100467218,30,3-5 years,Suburban,Fixed,Single Family,NC,4.98,44,77941,175929,Primary
149417,668,385040,0.510188427876833,25,1-3 years,Suburban,Adjustable,Townhouse,FL,4.66,38,39453,213522,Primary
347439,671,630235,0.7979202765001491,25,10+ years,Rural,Adjustable,Condo,NC,6.73,10,73993,292132,Investment
167309,646,255491,0.6215644965034889,15,1-3 years,Urban,Fixed,Multi Family,NY,7.89,31,25864,290412,Primary
229388,645,365231,0.6495495775696882,15,10+ years,Urban,Fixed,Multi Family,NY,7.65,22,97420,268731,Secondary
323271,692,300820,0.6175774449028788,20,10+ years,Urban,Adjustable,Condo,CA,5.44,37,22672,223471,Primary
176979,755,518703,0.9335564687634904,20,3-5 years,Rural,Adjustable,Townhouse,IL,6.62,36,92073,251031,Secondary
301506,771,253770,0.7863761768895603,20,1-3 years,Suburban,Adjustable,Single Family,IL,7.49,10,19489,240917,Primary
430259,765,340818,0.8372204755734738,40,3-5 years,Suburban,Adjustable,Multi Family,NC,2.08,39,17586,344995,Investment
161776,704,499353,0.7043133170131901,25,3-5 years,Rural,Adjustable,Single Family,GA,5.25,13,61566,316456,Secondary
479263,772,429250,0.9458125262314829,30,3-5 years,Suburban,Fixed,Single Family,PA,6.5,30,10038,315218,Secondary
370558,681,400158,0.8562148599999565,30,1-3 years,Urban,Fixed,Townhouse,FL,5.63,45,89716,123089,Secondary
249374,688,505264,0.7028663792958822,30,< 1 year,Suburban,Fixed,Townhouse,MI,5.62,44,63205,208723,Investment
208378,766,432484,0.5875978256655738,30,3-5 years,Rural,Adjustable,Multi Family,NC,6.42,24,40044,247138,Secondary
172476,751,353205,0.9070680495250842,20,5-10 years,Rural,Adjustable,Multi Family,CA,6.51,34,48590,108574,Primary
488653,789,358317,0.8917744107204179,20,1-3 years,Urban,Fixed,Single Family,OH,7.01,44,62403,239961,Investment
297262,803,236779,0.6479041022073173,30,1-3 years,Suburban,Fixed,Single Family,FL,4.66,41,81650,171415,Investment
271069,658,470962,0.7902611828113176,20,3-5 years,Urban,Fixed,Single Family,PA,6.51,19,32837,142162,Investment
229052,842,418706,0.7285039098205515,15,1-3 years,Rural,Fixed,Townhouse,CA,10.2,12,60434,322090,Secondary
307736,656,549887,0.850370646498924,20,5-10 years,Suburban,Fixed,Townhouse,IL,7.74,27,14659,292418,Secondary
348478,675,349464,0.7845623271562736,20,1-3 years,Urban,Adjustable,Townhouse,CA,6.61,11,72571,258292,Secondary
477967,767,628980,0.952122059398454,30,3-5 years,Urban,Fixed,Single Family,OH,6.59,43,79821,145366,Investment
443240,691,346004,0.5332947244619799,15,< 1 year,Rural,Fixed,Condo,OH,7.56,21,25503,271612,Investment
293663,695,553438,0.5199993665754681,15,< 1 year,Rural,Adjustable,Townhouse,NC,8.87,15,60460,278693,Secondary
133746,757,522995,0.8517178485626062,20,1-3 years,Urban,Adjustable,Condo,OH,7.37,15,52620,175412,Secondary
449180,740,557241,0.9968221453168344,30,1-3 years,Rural,Fixed,Condo,IL,6.78,17,32257,324226,Investment
219919,698,690992,0.7188300997174444,40,< 1 year,Rural,Adjustable,Multi Family,IL,1.92,22,98163,320416,Investment
320706,740,613220,0.939143011344146,30,< 1 year,Rural,Adjustable,Single Family,OH,5.26,35,59346,323610,Investment
316713,662,689334,0.7529988170154042,20,5-10 years,Rural,Adjustable,Condo,OH,6.01,43,97883,153410,Primary
201500,705,571421,0.7449129764475393,40,5-10 years,Rural,Fixed,Condo,CA,3.77,14,84369,203739,Investment
421664,767,523388,0.7884891091737742,40,1-3 years,Urban,Adjustable,Condo,IL,3.77,11,91514,217572,Secondary
112103,694,451818,0.8026847170955552,15,10+ years,Rural,Adjustable,Multi Family,CA,7.02,13,98966,138241,Investment
348509,687,357244,0.5541605905454797,20,< 1 year,Rural,Adjustable,Townhouse,FL,7.3,11,24942,102466,Secondary
175984,819,609761,0.5070272083124832,40,< 1 year,Rural,Fixed,Townhouse,MI,4.76,45,49266,348772,Investment
217560,705,421664,0.7760942048643769,40,10+ years,Rural,Adjustable,Multi Family,FL,1.73,10,10077,122324,Investment
285188,705,622574,0.9770918646213747,15,1-3 years,Suburban,Fixed,Multi Family,NY,7.87,27,36099,193997,Primary
152114,786,675744,0.9673204388110458,30,10+ years,Suburban,Fixed,Condo,NC,6.2,24,19068,285920,Primary
127003,766,562155,0.8309897501044659,25,5-10 years,Urban,Adjustable,Townhouse,NC,6.51,22,41289,158780,Secondary
207468,840,533926,0.8947916958849672,40,< 1 year,Urban,Adjustable,Condo,TX,4.08,28,11786,250075,Primary
123536,722,442665,0.7722781196289916,20,1-3 years,Rural,Fixed,Condo,GA,6.5,25,23589,132027,Primary
196854,843,535531,0.6762947565959274,20,1-3 years,Rural,Fixed,Multi Family,IL,7.06,22,42166,149113,Primary
372507,780,679729,0.955426521297678,30,10+ years,Rural,Adjustable,Single Family,NY,5.91,45,76525,312548,Investment
309174,808,315615,0.6880667053653673,20,1-3 years,Urban,Adjustable,Single Family,CA,7.53,21,13651,100376,Investment
214953,737,586402,0.8827871738854851,15,< 1 year,Rural,Fixed,Townhouse,MI,9.56,12,73516,156939,Investment
328526,817,691027,0.8462127803915545,20,3-5 years,Urban,Adjustable,Condo,MI,7.18,18,15441,306232,Investment
253968,818,532842,0.5586823108482915,20,3-5 years,Rural,Fixed,Single Family,FL,6.89,11,86630,218284,Secondary
360033,654,345686,0.8168869232060447,30,< 1 year,Urban,Fixed,Multi Family,NY,3.3,11,93862,106539,Primary
164442,743,532878,0.565800795129898,25,10+ years,Rural,Fixed,Townhouse,IL,5.92,23,80570,198230,Investment
238993,739,534249,0.8463989978577564,40,5-10 years,Rural,Adjustable,Townhouse,NY,2.27,16,81066,220534,Secondary
102429,783,655913,0.8680128868328902,40,1-3 years,Rural,Adjustable,Multi Family,IL,3.25,26,79815,195178,Primary
287027,666,227989,0.8045599932286762,15,10+ years,Urban,Fixed,Condo,FL,7.3,44,61532,232747,Investment
