Loan Amount,Credit Score,Property Value,Loan-to-Value Ratio,Loan Term (years),Employment Length,Location,Loan Type,Property Type,State,Interest Rate,Debt-To-Income DTI,Down Payment $,Income,Ocuppancy Type
151343,664,522963,0.5940600801311287,15,5-10 years,Urban,Fixed,Condo,OH,7.83,30,76478,170271,Primary
447602,836,652830,0.5812816303325763,25,3-5 years,Urban,Adjustable,Condo,IL,8.34,41,15499,234577,Primary
394962,827,359974,0.9041992996529831,30,< 1 year,Urban,Adjustable,Townhouse,IL,7.31,26,45188,112747,Primary
302640,771,257113,0.9769007386768946,25,10+ years,Suburban,Adjustable,Townhouse,TX,5.72,43,50888,171106,Investment
268633,804,241298,0.6094871455175791,25,5-10 years,Urban,Fixed,Multi Family,PA,8.21,29,70254,336231,Secondary
214079,734,543264,0.6732038994635162,20,1-3 years,Rural,Fixed,Townhouse,FL,8.56,18,59937,344881,Secondary
122804,731,551194,0.7326271545035166,20,1-3 years,Rural,Adjustable,Condo,GA,6.21,34,66246,316914,Primary
308995,751,404735,0.8531947784179845,25,10+ years,Suburban,Adjustable,Townhouse,FL,7.09,45,45070,293809,Primary
122556,782,297411,0.594751058530177,25,1-3 years,Urban,Adjustable,Single Family,TX,6.9,30,74079,321245,Primary
117461,800,292190,0.5194607359372411,25,10+ years,Rural,Fixed,Single Family,OH,6.05,28,76476,348632,Primary
114550,819,266866,0.6596790888580581,15,1-3 years,Suburban,Adjustable,Townhouse,TX,10.23,29,60628,282034,Primary
401456,681,415911,0.5112991721558557,15,3-5 years,Rural,Adjustable,Condo,FL,8.13,22,14856,191207,Secondary
183237,685,659947,0.7132476031431356,30,< 1 year,Rural,Adjustable,Multi Family,IL,4.36,46,82490,320995,Secondary
225966,690,680453,0.6901607397093008,25,10+ years,Urban,Adjustable,Multi Family,PA,7.28,50,58535,328973,Investment
111248,687,592006,0.7543688321071051,20,< 1 year,Urban,Fixed,Condo,OH,7.65,15,40770,265364,Primary
326576,677,574249,0.5501428703557016,15,3-5 years,Rural,Fixed,Condo,TX,7.82,38,86521,310480,Investment
418187,722,670944,0.6857259427591978,30,1-3 years,Urban,Fixed,Condo,CA,6.34,40,46121,251577,Investment
223992,832,320066,0.6224663558278437,25,3-5 years,Urban,Fixed,Condo,PA,7.03,47,34904,197564,Investment
411314,699,497549,0.5067542220004091,40,5-10 years,Rural,Adjustable,Condo,OH,1.74,29,18813,144587,Investment
143119,770,652825,0.9836198279860455,40,< 1 year,Rural,Fixed,Single Family,NC,2.97,22,74235,282249,Investment
261060,824,415538,0.9502278447610836,25,< 1 year,Urban,Fixed,Condo,NY,7.96,13,47361,297286,Primary
335115,794,610746,0.6217554487950788,15,3-5 years,Urban,Fixed,Townhouse,NC,7.84,34,59478,285729,Secondary
215324,835,294375,0.688179462290685,25,10+ years,Suburban,Adjustable,Townhouse,PA,6.22,26,83256,235101,Investment
434324,660,267632,0.9846631552216326,25,3-5 years,Suburban,Fixed,Condo,OH,6.54,17,31036,236079,Primary
